"County","FIPS","Year","Occupation","Business Type","Measure Type","Variable","Value"
"Connecticut","09","2006-2010","Sales and office","Private, Not-for-profit","Percent","Employment",6.1
"Connecticut","09","2006-2010","Sales and office","Private, Not-for-profit","Percent","Margins of Error",0.3
"Connecticut","09","2006-2010","Natural resources, construction, and maintenance","Total","Number","Employment",141758
"Connecticut","09","2006-2010","Natural resources, construction, and maintenance","Total","Number","Margins of Error",2914
"Connecticut","09","2006-2010","Natural resources, construction, and maintenance","Self-Employed, Incorporated","Percent","Employment",5.6
"Connecticut","09","2006-2010","Natural resources, construction, and maintenance","Self-Employed, Incorporated","Percent","Margins of Error",0.3
"Connecticut","09","2006-2010","Natural resources, construction, and maintenance","Self-Employed, Not Incorporated","Percent","Employment",17.3
"Connecticut","09","2006-2010","Natural resources, construction, and maintenance","Self-Employed, Not Incorporated","Percent","Margins of Error",0.9
"Connecticut","09","2006-2010","Natural resources, construction, and maintenance","Government","Percent","Employment",6.6
"Connecticut","09","2006-2010","Natural resources, construction, and maintenance","Government","Percent","Margins of Error",0.4
"Connecticut","09","2006-2010","Natural resources, construction, and maintenance","Private, Profit","Percent","Employment",67.8
"Connecticut","09","2006-2010","Natural resources, construction, and maintenance","Private, Profit","Percent","Margins of Error",1
"Connecticut","09","2006-2010","Natural resources, construction, and maintenance","Private, Not-for-profit","Percent","Employment",2.8
"Connecticut","09","2006-2010","Natural resources, construction, and maintenance","Private, Not-for-profit","Percent","Margins of Error",0.3
"Connecticut","09","2006-2010","Production, transportation, and material moving","Total","Number","Employment",179360
"Connecticut","09","2006-2010","Production, transportation, and material moving","Total","Number","Margins of Error",2983
"Connecticut","09","2006-2010","Production, transportation, and material moving","Self-Employed, Incorporated","Percent","Employment",1.6
"Connecticut","09","2006-2010","Production, transportation, and material moving","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2006-2010","Production, transportation, and material moving","Self-Employed, Not Incorporated","Percent","Employment",3.2
"Connecticut","09","2006-2010","Production, transportation, and material moving","Self-Employed, Not Incorporated","Percent","Margins of Error",0.3
"Connecticut","09","2006-2010","Production, transportation, and material moving","Government","Percent","Employment",4.5
"Connecticut","09","2006-2010","Production, transportation, and material moving","Government","Percent","Margins of Error",0.3
"Connecticut","09","2006-2010","Production, transportation, and material moving","Private, Profit","Percent","Employment",87.7
"Connecticut","09","2006-2010","Production, transportation, and material moving","Private, Profit","Percent","Margins of Error",0.5
"Connecticut","09","2006-2010","Production, transportation, and material moving","Private, Not-for-profit","Percent","Employment",3
"Connecticut","09","2006-2010","Production, transportation, and material moving","Private, Not-for-profit","Percent","Margins of Error",0.3
"Connecticut","09","2007-2011","All","Total","Number","Employment",1764755
"Connecticut","09","2007-2011","All","Total","Number","Margins of Error",4621
"Connecticut","09","2007-2011","All","Self-Employed, Incorporated","Percent","Employment",3.6
"Connecticut","09","2007-2011","All","Self-Employed, Incorporated","Percent","Margins of Error",0.1
"Connecticut","09","2007-2011","All","Self-Employed, Not Incorporated","Percent","Employment",6.8
"Connecticut","09","2007-2011","All","Self-Employed, Not Incorporated","Percent","Margins of Error",0.1
"Connecticut","09","2007-2011","All","Government","Percent","Employment",13.5
"Connecticut","09","2007-2011","All","Government","Percent","Margins of Error",0.2
"Connecticut","09","2007-2011","All","Private, Profit","Percent","Employment",66.4
"Connecticut","09","2007-2011","All","Private, Profit","Percent","Margins of Error",0.3
"Connecticut","09","2007-2011","All","Private, Not-for-profit","Percent","Employment",9.7
"Connecticut","09","2007-2011","All","Private, Not-for-profit","Percent","Margins of Error",0.2
"Connecticut","09","2007-2011","Management, business, science, and arts","Total","Number","Employment",715375
"Connecticut","09","2007-2011","Management, business, science, and arts","Total","Number","Margins of Error",5301
"Connecticut","09","2007-2011","Management, business, science, and arts","Self-Employed, Incorporated","Percent","Employment",4.6
"Connecticut","09","2007-2011","Management, business, science, and arts","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2007-2011","Management, business, science, and arts","Self-Employed, Not Incorporated","Percent","Employment",6.2
"Connecticut","09","2007-2011","Management, business, science, and arts","Self-Employed, Not Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2007-2011","Management, business, science, and arts","Government","Percent","Employment",19
"Connecticut","09","2007-2011","Management, business, science, and arts","Government","Percent","Margins of Error",0.4
"Connecticut","09","2007-2011","Management, business, science, and arts","Private, Profit","Percent","Employment",55.4
"Connecticut","09","2007-2011","Management, business, science, and arts","Private, Profit","Percent","Margins of Error",0.4
"Connecticut","09","2007-2011","Management, business, science, and arts","Private, Not-for-profit","Percent","Employment",14.8
"Connecticut","09","2007-2011","Management, business, science, and arts","Private, Not-for-profit","Percent","Margins of Error",0.3
"Connecticut","09","2007-2011","Service","Total","Number","Employment",300804
"Connecticut","09","2007-2011","Service","Total","Number","Margins of Error",3711
"Connecticut","09","2007-2011","Service","Self-Employed, Incorporated","Percent","Employment",2.1
"Connecticut","09","2007-2011","Service","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2007-2011","Service","Self-Employed, Not Incorporated","Percent","Employment",9.1
"Connecticut","09","2007-2011","Service","Self-Employed, Not Incorporated","Percent","Margins of Error",0.4
"Connecticut","09","2007-2011","Service","Government","Percent","Employment",15.4
"Connecticut","09","2007-2011","Service","Government","Percent","Margins of Error",0.5
"Connecticut","09","2007-2011","Service","Private, Profit","Percent","Employment",64.1
"Connecticut","09","2007-2011","Service","Private, Profit","Percent","Margins of Error",0.6
"Connecticut","09","2007-2011","Service","Private, Not-for-profit","Percent","Employment",9.3
"Connecticut","09","2007-2011","Service","Private, Not-for-profit","Percent","Margins of Error",0.4
"Connecticut","09","2007-2011","Sales and office","Total","Number","Employment",434861
"Connecticut","09","2007-2011","Sales and office","Total","Number","Margins of Error",4499
"Connecticut","09","2007-2011","Sales and office","Self-Employed, Incorporated","Percent","Employment",3.2
"Connecticut","09","2007-2011","Sales and office","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2007-2011","Sales and office","Self-Employed, Not Incorporated","Percent","Employment",4.4
"Connecticut","09","2007-2011","Sales and office","Self-Employed, Not Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2007-2011","Sales and office","Government","Percent","Employment",8.7
"Connecticut","09","2007-2011","Sales and office","Government","Percent","Margins of Error",0.3
"Connecticut","09","2007-2011","Sales and office","Private, Profit","Percent","Employment",77.3
"Connecticut","09","2007-2011","Sales and office","Private, Profit","Percent","Margins of Error",0.5
"Connecticut","09","2007-2011","Sales and office","Private, Not-for-profit","Percent","Employment",6.4
"Connecticut","09","2007-2011","Sales and office","Private, Not-for-profit","Percent","Margins of Error",0.3
"Connecticut","09","2007-2011","Natural resources, construction, and maintenance","Total","Number","Employment",138091
"Connecticut","09","2007-2011","Natural resources, construction, and maintenance","Total","Number","Margins of Error",2492
"Connecticut","09","2007-2011","Natural resources, construction, and maintenance","Self-Employed, Incorporated","Percent","Employment",5.6
"Connecticut","09","2007-2011","Natural resources, construction, and maintenance","Self-Employed, Incorporated","Percent","Margins of Error",0.4
"Connecticut","09","2007-2011","Natural resources, construction, and maintenance","Self-Employed, Not Incorporated","Percent","Employment",17.2
"Connecticut","09","2007-2011","Natural resources, construction, and maintenance","Self-Employed, Not Incorporated","Percent","Margins of Error",0.8
"Connecticut","09","2007-2011","Natural resources, construction, and maintenance","Government","Percent","Employment",6.9
"Connecticut","09","2007-2011","Natural resources, construction, and maintenance","Government","Percent","Margins of Error",0.5
"Connecticut","09","2007-2011","Natural resources, construction, and maintenance","Private, Profit","Percent","Employment",67.3
"Connecticut","09","2007-2011","Natural resources, construction, and maintenance","Private, Profit","Percent","Margins of Error",0.9
"Connecticut","09","2007-2011","Natural resources, construction, and maintenance","Private, Not-for-profit","Percent","Employment",3
"Connecticut","09","2007-2011","Natural resources, construction, and maintenance","Private, Not-for-profit","Percent","Margins of Error",0.3
"Connecticut","09","2007-2011","Production, transportation, and material moving","Total","Number","Employment",175624
"Connecticut","09","2007-2011","Production, transportation, and material moving","Total","Number","Margins of Error",2445
"Connecticut","09","2007-2011","Production, transportation, and material moving","Self-Employed, Incorporated","Percent","Employment",1.6
"Connecticut","09","2007-2011","Production, transportation, and material moving","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2007-2011","Production, transportation, and material moving","Self-Employed, Not Incorporated","Percent","Employment",3.1
"Connecticut","09","2007-2011","Production, transportation, and material moving","Self-Employed, Not Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2007-2011","Production, transportation, and material moving","Government","Percent","Employment",4.6
"Connecticut","09","2007-2011","Production, transportation, and material moving","Government","Percent","Margins of Error",0.3
"Connecticut","09","2007-2011","Production, transportation, and material moving","Private, Profit","Percent","Employment",87.6
"Connecticut","09","2007-2011","Production, transportation, and material moving","Private, Profit","Percent","Margins of Error",0.6
"Connecticut","09","2007-2011","Production, transportation, and material moving","Private, Not-for-profit","Percent","Employment",3.1
"Connecticut","09","2007-2011","Production, transportation, and material moving","Private, Not-for-profit","Percent","Margins of Error",0.3
"Connecticut","09","2008-2012","All","Total","Number","Employment",1762707
"Connecticut","09","2008-2012","All","Total","Number","Margins of Error",5695
"Connecticut","09","2008-2012","All","Self-Employed, Incorporated","Percent","Employment",3.5
"Connecticut","09","2008-2012","All","Self-Employed, Incorporated","Percent","Margins of Error",0.1
"Connecticut","09","2008-2012","All","Self-Employed, Not Incorporated","Percent","Employment",6.7
"Connecticut","09","2008-2012","All","Self-Employed, Not Incorporated","Percent","Margins of Error",0.1
"Connecticut","09","2008-2012","All","Government","Percent","Employment",13.6
"Connecticut","09","2008-2012","All","Government","Percent","Margins of Error",0.2
"Connecticut","09","2008-2012","All","Private, Profit","Percent","Employment",66.4
"Connecticut","09","2008-2012","All","Private, Profit","Percent","Margins of Error",0.2
"Connecticut","09","2008-2012","All","Private, Not-for-profit","Percent","Employment",9.8
"Connecticut","09","2008-2012","All","Private, Not-for-profit","Percent","Margins of Error",0.2
"Connecticut","09","2008-2012","Management, business, science, and arts","Total","Number","Employment",721154
"Connecticut","09","2008-2012","Management, business, science, and arts","Total","Number","Margins of Error",5101
"Connecticut","09","2008-2012","Management, business, science, and arts","Self-Employed, Incorporated","Percent","Employment",4.4
"Connecticut","09","2008-2012","Management, business, science, and arts","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2008-2012","Management, business, science, and arts","Self-Employed, Not Incorporated","Percent","Employment",6.1
"Connecticut","09","2008-2012","Management, business, science, and arts","Self-Employed, Not Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2008-2012","Management, business, science, and arts","Government","Percent","Employment",19
"Connecticut","09","2008-2012","Management, business, science, and arts","Government","Percent","Margins of Error",0.3
"Connecticut","09","2008-2012","Management, business, science, and arts","Private, Profit","Percent","Employment",55.5
"Connecticut","09","2008-2012","Management, business, science, and arts","Private, Profit","Percent","Margins of Error",0.4
"Connecticut","09","2008-2012","Management, business, science, and arts","Private, Not-for-profit","Percent","Employment",15
"Connecticut","09","2008-2012","Management, business, science, and arts","Private, Not-for-profit","Percent","Margins of Error",0.3
"Connecticut","09","2008-2012","Service","Total","Number","Employment",306242
"Connecticut","09","2008-2012","Service","Total","Number","Margins of Error",3937
"Connecticut","09","2008-2012","Service","Self-Employed, Incorporated","Percent","Employment",2
"Connecticut","09","2008-2012","Service","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2008-2012","Service","Self-Employed, Not Incorporated","Percent","Employment",9.1
"Connecticut","09","2008-2012","Service","Self-Employed, Not Incorporated","Percent","Margins of Error",0.3
"Connecticut","09","2008-2012","Service","Government","Percent","Employment",15.4
"Connecticut","09","2008-2012","Service","Government","Percent","Margins of Error",0.5
"Connecticut","09","2008-2012","Service","Private, Profit","Percent","Employment",64.2
"Connecticut","09","2008-2012","Service","Private, Profit","Percent","Margins of Error",0.6
"Connecticut","09","2008-2012","Service","Private, Not-for-profit","Percent","Employment",9.2
"Connecticut","09","2008-2012","Service","Private, Not-for-profit","Percent","Margins of Error",0.4
"Connecticut","09","2008-2012","Sales and office","Total","Number","Employment",428801
"Connecticut","09","2008-2012","Sales and office","Total","Number","Margins of Error",4273
"Connecticut","09","2008-2012","Sales and office","Self-Employed, Incorporated","Percent","Employment",3.2
"Connecticut","09","2008-2012","Sales and office","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2008-2012","Sales and office","Self-Employed, Not Incorporated","Percent","Employment",4.2
"Connecticut","09","2008-2012","Sales and office","Self-Employed, Not Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2008-2012","Sales and office","Government","Percent","Employment",8.7
"Connecticut","09","2008-2012","Sales and office","Government","Percent","Margins of Error",0.3
"Connecticut","09","2008-2012","Sales and office","Private, Profit","Percent","Employment",77.4
"Connecticut","09","2008-2012","Sales and office","Private, Profit","Percent","Margins of Error",0.4
"Connecticut","09","2008-2012","Sales and office","Private, Not-for-profit","Percent","Employment",6.5
"Connecticut","09","2008-2012","Sales and office","Private, Not-for-profit","Percent","Margins of Error",0.3
"Connecticut","09","2008-2012","Natural resources, construction, and maintenance","Total","Number","Employment",133336
"Connecticut","09","2008-2012","Natural resources, construction, and maintenance","Total","Number","Margins of Error",2480
"Connecticut","09","2008-2012","Natural resources, construction, and maintenance","Self-Employed, Incorporated","Percent","Employment",5.6
"Connecticut","09","2008-2012","Natural resources, construction, and maintenance","Self-Employed, Incorporated","Percent","Margins of Error",0.4
"Connecticut","09","2008-2012","Natural resources, construction, and maintenance","Self-Employed, Not Incorporated","Percent","Employment",16.9
"Connecticut","09","2008-2012","Natural resources, construction, and maintenance","Self-Employed, Not Incorporated","Percent","Margins of Error",0.7
"Connecticut","09","2008-2012","Natural resources, construction, and maintenance","Government","Percent","Employment",7.2
"Connecticut","09","2008-2012","Natural resources, construction, and maintenance","Government","Percent","Margins of Error",0.6
"Connecticut","09","2008-2012","Natural resources, construction, and maintenance","Private, Profit","Percent","Employment",67.1
"Connecticut","09","2008-2012","Natural resources, construction, and maintenance","Private, Profit","Percent","Margins of Error",1
"Connecticut","09","2008-2012","Natural resources, construction, and maintenance","Private, Not-for-profit","Percent","Employment",3.2
"Connecticut","09","2008-2012","Natural resources, construction, and maintenance","Private, Not-for-profit","Percent","Margins of Error",0.4
"Connecticut","09","2008-2012","Production, transportation, and material moving","Total","Number","Employment",173174
"Connecticut","09","2008-2012","Production, transportation, and material moving","Total","Number","Margins of Error",3402
"Connecticut","09","2008-2012","Production, transportation, and material moving","Self-Employed, Incorporated","Percent","Employment",1.5
"Connecticut","09","2008-2012","Production, transportation, and material moving","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2008-2012","Production, transportation, and material moving","Self-Employed, Not Incorporated","Percent","Employment",3.1
"Connecticut","09","2008-2012","Production, transportation, and material moving","Self-Employed, Not Incorporated","Percent","Margins of Error",0.3
"Connecticut","09","2008-2012","Production, transportation, and material moving","Government","Percent","Employment",4.6
"Connecticut","09","2008-2012","Production, transportation, and material moving","Government","Percent","Margins of Error",0.4
"Connecticut","09","2008-2012","Production, transportation, and material moving","Private, Profit","Percent","Employment",87.5
"Connecticut","09","2008-2012","Production, transportation, and material moving","Private, Profit","Percent","Margins of Error",0.6
"Connecticut","09","2008-2012","Production, transportation, and material moving","Private, Not-for-profit","Percent","Employment",3.2
"Connecticut","09","2008-2012","Production, transportation, and material moving","Private, Not-for-profit","Percent","Margins of Error",0.3
"Connecticut","09","2009-2013","All","Total","Number","Employment",1759412
"Connecticut","09","2009-2013","All","Total","Number","Margins of Error",4514
"Connecticut","09","2009-2013","All","Self-Employed, Incorporated","Percent","Employment",3.4
"Connecticut","09","2009-2013","All","Self-Employed, Incorporated","Percent","Margins of Error",0.1
"Connecticut","09","2009-2013","All","Self-Employed, Not Incorporated","Percent","Employment",6.7
"Connecticut","09","2009-2013","All","Self-Employed, Not Incorporated","Percent","Margins of Error",0.1
"Connecticut","09","2009-2013","All","Government","Percent","Employment",13.5
"Connecticut","09","2009-2013","All","Government","Percent","Margins of Error",0.2
"Connecticut","09","2009-2013","All","Private, Profit","Percent","Employment",66.6
"Connecticut","09","2009-2013","All","Private, Profit","Percent","Margins of Error",0.3
"Connecticut","09","2009-2013","All","Private, Not-for-profit","Percent","Employment",9.8
"Connecticut","09","2009-2013","All","Private, Not-for-profit","Percent","Margins of Error",0.2
"Connecticut","09","2009-2013","Management, business, science, and arts","Total","Number","Employment",718628
"Connecticut","09","2009-2013","Management, business, science, and arts","Total","Number","Margins of Error",6151
"Connecticut","09","2009-2013","Management, business, science, and arts","Self-Employed, Incorporated","Percent","Employment",4.4
"Connecticut","09","2009-2013","Management, business, science, and arts","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2009-2013","Management, business, science, and arts","Self-Employed, Not Incorporated","Percent","Employment",6.1
"Connecticut","09","2009-2013","Management, business, science, and arts","Self-Employed, Not Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2009-2013","Management, business, science, and arts","Government","Percent","Employment",18.9
"Connecticut","09","2009-2013","Management, business, science, and arts","Government","Percent","Margins of Error",0.3
"Connecticut","09","2009-2013","Management, business, science, and arts","Private, Profit","Percent","Employment",55.6
"Connecticut","09","2009-2013","Management, business, science, and arts","Private, Profit","Percent","Margins of Error",0.4
"Connecticut","09","2009-2013","Management, business, science, and arts","Private, Not-for-profit","Percent","Employment",15
"Connecticut","09","2009-2013","Management, business, science, and arts","Private, Not-for-profit","Percent","Margins of Error",0.3
"Connecticut","09","2009-2013","Service","Total","Number","Employment",314263
"Connecticut","09","2009-2013","Service","Total","Number","Margins of Error",4333
"Connecticut","09","2009-2013","Service","Self-Employed, Incorporated","Percent","Employment",1.9
"Connecticut","09","2009-2013","Service","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2009-2013","Service","Self-Employed, Not Incorporated","Percent","Employment",9.2
"Connecticut","09","2009-2013","Service","Self-Employed, Not Incorporated","Percent","Margins of Error",0.4
"Connecticut","09","2009-2013","Service","Government","Percent","Employment",15
"Connecticut","09","2009-2013","Service","Government","Percent","Margins of Error",0.5
"Connecticut","09","2009-2013","Service","Private, Profit","Percent","Employment",65
"Connecticut","09","2009-2013","Service","Private, Profit","Percent","Margins of Error",0.6
"Connecticut","09","2009-2013","Service","Private, Not-for-profit","Percent","Employment",8.9
"Connecticut","09","2009-2013","Service","Private, Not-for-profit","Percent","Margins of Error",0.4
"Connecticut","09","2009-2013","Sales and office","Total","Number","Employment",424266
"Connecticut","09","2009-2013","Sales and office","Total","Number","Margins of Error",3999
"Connecticut","09","2009-2013","Sales and office","Self-Employed, Incorporated","Percent","Employment",3.1
"Connecticut","09","2009-2013","Sales and office","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2009-2013","Sales and office","Self-Employed, Not Incorporated","Percent","Employment",4.2
"Connecticut","09","2009-2013","Sales and office","Self-Employed, Not Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2009-2013","Sales and office","Government","Percent","Employment",8.7
"Connecticut","09","2009-2013","Sales and office","Government","Percent","Margins of Error",0.3
"Connecticut","09","2009-2013","Sales and office","Private, Profit","Percent","Employment",77.4
"Connecticut","09","2009-2013","Sales and office","Private, Profit","Percent","Margins of Error",0.5
"Connecticut","09","2009-2013","Sales and office","Private, Not-for-profit","Percent","Employment",6.6
"Connecticut","09","2009-2013","Sales and office","Private, Not-for-profit","Percent","Margins of Error",0.3
"Connecticut","09","2009-2013","Natural resources, construction, and maintenance","Total","Number","Employment",130610
"Connecticut","09","2009-2013","Natural resources, construction, and maintenance","Total","Number","Margins of Error",2342
"Connecticut","09","2009-2013","Natural resources, construction, and maintenance","Self-Employed, Incorporated","Percent","Employment",5.5
"Connecticut","09","2009-2013","Natural resources, construction, and maintenance","Self-Employed, Incorporated","Percent","Margins of Error",0.4
"Connecticut","09","2009-2013","Natural resources, construction, and maintenance","Self-Employed, Not Incorporated","Percent","Employment",16.7
"Connecticut","09","2009-2013","Natural resources, construction, and maintenance","Self-Employed, Not Incorporated","Percent","Margins of Error",0.7
"Connecticut","09","2009-2013","Natural resources, construction, and maintenance","Government","Percent","Employment",7.4
"Connecticut","09","2009-2013","Natural resources, construction, and maintenance","Government","Percent","Margins of Error",0.5
"Connecticut","09","2009-2013","Natural resources, construction, and maintenance","Private, Profit","Percent","Employment",67.4
"Connecticut","09","2009-2013","Natural resources, construction, and maintenance","Private, Profit","Percent","Margins of Error",0.9
"Connecticut","09","2009-2013","Natural resources, construction, and maintenance","Private, Not-for-profit","Percent","Employment",3
"Connecticut","09","2009-2013","Natural resources, construction, and maintenance","Private, Not-for-profit","Percent","Margins of Error",0.5
"Connecticut","09","2009-2013","Production, transportation, and material moving","Total","Number","Employment",171645
"Connecticut","09","2009-2013","Production, transportation, and material moving","Total","Number","Margins of Error",2732
"Connecticut","09","2009-2013","Production, transportation, and material moving","Self-Employed, Incorporated","Percent","Employment",1.5
"Connecticut","09","2009-2013","Production, transportation, and material moving","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2009-2013","Production, transportation, and material moving","Self-Employed, Not Incorporated","Percent","Employment",3.1
"Connecticut","09","2009-2013","Production, transportation, and material moving","Self-Employed, Not Incorporated","Percent","Margins of Error",0.3
"Connecticut","09","2009-2013","Production, transportation, and material moving","Government","Percent","Employment",4.6
"Connecticut","09","2009-2013","Production, transportation, and material moving","Government","Percent","Margins of Error",0.4
"Connecticut","09","2009-2013","Production, transportation, and material moving","Private, Profit","Percent","Employment",87.7
"Connecticut","09","2009-2013","Production, transportation, and material moving","Private, Profit","Percent","Margins of Error",0.6
"Connecticut","09","2009-2013","Production, transportation, and material moving","Private, Not-for-profit","Percent","Employment",3
"Connecticut","09","2009-2013","Production, transportation, and material moving","Private, Not-for-profit","Percent","Margins of Error",0.3
"Connecticut","09","2010-2014","All","Total","Number","Employment",1766934
"Connecticut","09","2010-2014","All","Total","Number","Margins of Error",5661
"Connecticut","09","2010-2014","All","Self-Employed, Incorporated","Percent","Employment",3.4
"Connecticut","09","2010-2014","All","Self-Employed, Incorporated","Percent","Margins of Error",0.1
"Connecticut","09","2010-2014","All","Self-Employed, Not Incorporated","Percent","Employment",6.6
"Connecticut","09","2010-2014","All","Self-Employed, Not Incorporated","Percent","Margins of Error",0.1
"Connecticut","09","2010-2014","All","Government","Percent","Employment",13.4
"Connecticut","09","2010-2014","All","Government","Percent","Margins of Error",0.2
"Connecticut","09","2010-2014","All","Private, Profit","Percent","Employment",66.8
"Connecticut","09","2010-2014","All","Private, Profit","Percent","Margins of Error",0.2
"Connecticut","09","2010-2014","All","Private, Not-for-profit","Percent","Employment",9.8
"Connecticut","09","2010-2014","All","Private, Not-for-profit","Percent","Margins of Error",0.2
"Connecticut","09","2010-2014","Management, business, science, and arts","Total","Number","Employment",729947
"Connecticut","09","2010-2014","Management, business, science, and arts","Total","Number","Margins of Error",5777
"Connecticut","09","2010-2014","Management, business, science, and arts","Self-Employed, Incorporated","Percent","Employment",4.3
"Connecticut","09","2010-2014","Management, business, science, and arts","Self-Employed, Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2010-2014","Management, business, science, and arts","Self-Employed, Not Incorporated","Percent","Employment",5.9
"Connecticut","09","2010-2014","Management, business, science, and arts","Self-Employed, Not Incorporated","Percent","Margins of Error",0.2
"Connecticut","09","2010-2014","Management, business, science, and arts","Government","Percent","Employment",18.8
"Connecticut","09","2010-2014","Management, business, science, and arts","Government","Percent","Margins of Error",0.3
"Connecticut","09","2010-2014","Management, business, science, and arts","Private, Profit","Percent","Employment",56
"Connecticut","09","2010-2014","Management, business, science, and arts","Private, Profit","Percent","Margins of Error",0.4
"Connecticut","09","2010-2014","Management, business, science, and arts","Private, Not-for-profit","Percent","Employment",15
